official_title,study_first_posted_date,verification_date,start_date,start_month_year,nct_id,phase,last_known_status,study_type,enrollment,overall_status,facilitiesCount,multisite,funding,fundingComb,intervention_comb,interventionType,interventionTypeCombined,were_results_reported,pubCount,pubCountBool,diverse,diverseGroup,yearStart,numMissing,interventionDrugNonDrug,industryNonIndustry,raceSpecific
Interactive Web Program and Health Coaching for Prehypertensive Adults,12/22/2015,1/31/2017,11/30/2013,Nov-13,NCT02637063,Not Applicable,NA,Interventional,203,Completed,1,FALSE,Industry,Industry,"Behavioral, Behavioral, Other",Behavioral,Behavioral,TRUE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Utilizing a Mobile Health (mHealth) Application to Improve Hypertension Monitoring and Self-management in an Underserved Community: A Pilot Study,12/17/2015,4/30/2018,1/31/2016,Jan-16,NCT02632838,Not Applicable,NA,Interventional,30,Completed,1,FALSE,Other,Other,Device,Device,Device,TRUE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Prospective Evaluation of the New Micropulse Transscleral Cyclophotocoagulation,12/10/2015,10/31/2017,2/28/2014,Feb-14,NCT02627352,Not Applicable,NA,Interventional,15,Completed,1,FALSE,Other,Other,Procedure,Procedure,Procedure,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Monitoring and Managing Newly Healed Chronic Leg and Foot Ulcer Skin Temperature: A Cooling Intervention (MUSTCOOL) to Prevent Ulcer Recurrence,12/10/2015,12/31/2019,6/30/2015,Jun-15,NCT02626156,Phase 2,NA,Interventional,240,"Active, not recruiting",2,TRUE,Other,Other,"Device, Device",Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The KaHOLO Project: Preventing Cardiovascular Disease in Native Hawaiians,12/3/2015,7/31/2018,1/31/2016,Jan-16,NCT02620709,Not Applicable,NA,Interventional,275,"Active, not recruiting",1,FALSE,Other,Other,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The Use of Ambulatory Blood Pressure Monitors to Assess Angiotensin Converting Enzyme Inhibitors in Resistant Hypertension,12/7/2015,5/31/2017,11/30/2015,Nov-15,NCT02623036,Phase 1,Recruiting,Interventional,20,Unknown status,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,FALSE,3,TRUE,Non-race specific,Non-race specific,2015,0,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Twitter & Cardiovascular Health,12/4/2015,2/28/2018,6/30/2016,Jun-16,NCT02622256,Not Applicable,NA,Interventional,611,Completed,1,FALSE,Other,Other,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
A Self-Administered Mobile Phone-based Holistic Intervention for Promoting Healthy Habits and Weight Loss in People Who Are Overweight or Obese,12/3/2015,12/31/2015,11/30/2015,Nov-15,NCT02621008,Not Applicable,Recruiting,Interventional,500,Unknown status,1,FALSE,Industry,Industry,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,1,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Meditative Movement for COPD Symptoms in Non-Smoking Flight Attendants,11/23/2015,6/30/2019,3/31/2015,Mar-15,NCT02612389,Not Applicable,NA,Interventional,250,Recruiting,1,FALSE,Other,Other,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
NOVAâ„¢ PERG (Pattern Electroretinogram)and FERG (Flash Electroretinogram): Establishment of Reference Values for PERG and FERG Measurements,11/20/2015,11/30/2018,11/30/2014,Nov-14,NCT02609204,Not Applicable,NA,Interventional,51,Completed,1,FALSE,Other,Other,Diagnostic Test,other,other,TRUE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Effects of Isometric Exercises on Balance, Heart Rate, Pulse Ox and Blood Pressure",11/9/2015,2/28/2017,11/30/2015,Nov-15,NCT02599727,Not Applicable,NA,Interventional,0,Withdrawn,1,FALSE,Other,Other,"Other, Other",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Improving Quality by Maintaining Accurate Problems in the Electronic Health Record,11/4/2015,12/31/2016,4/30/2016,Apr-16,NCT02596087,Not Applicable,"Active, not recruiting",Interventional,2386,Unknown status,4,TRUE,Other,Other,Other,other,other,FALSE,8,TRUE,Non-race specific,Non-race specific,2015,0,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Dietary Nitrate Supplementation and Physiological Function in Older Adults,11/1/2015,9/30/2019,10/31/2015,Oct-15,NCT02593305,Not Applicable,NA,Interventional,23,Completed,1,FALSE,Other,Other,"Dietary Supplement, Dietary Supplement",other,other,TRUE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Study On The Effect of Combined Use of a Connected Pillbox, Pre-filled Medication Trays, Automated Text Message/Phone Call Reminds, On Medication Adherence in Patients With Type II Diabetes Mellitus, Hypertension or Hyperlipidemia",10/30/2015,10/31/2017,2/28/2015,Feb-15,NCT02593032,Not Applicable,NA,Interventional,50,Completed,1,FALSE,Other,Other,Device,Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Treatment of Hypertension In Adults With ThiaZIDES: Pragmatic Trial Pilot Study,10/29/2015,1/31/2017,8/31/2015,Aug-15,NCT02591628,Not Applicable,NA,Interventional,2027,Completed,2,TRUE,Other,Other,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"STEPs to Blood Pressure Reduction. A Randomized Clinical Trial of the Stroke Transitions, Education, and Prevention Clinic Versus Usual Care for Post-Stroke Blood Pressure Reduction",10/29/2015,4/30/2018,11/30/2015,Nov-15,NCT02591394,Not Applicable,NA,Interventional,200,Recruiting,1,FALSE,Other,Other,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Myocardial Perfusion, Oxidative Metabolism, and Fibrosis in HFpEF",10/28/2015,5/31/2019,11/30/2015,Nov-15,NCT02589977,Phase 4,NA,Interventional,60,Recruiting,1,FALSE,Industry,Industry,Drug,Drug,Pharmaceutical,FALSE,2,TRUE,Non-race specific,Non-race specific,2015,1,Drug Intervention,Industry Sponsor,Non-Race Specific
Improving Chronic Disease Management With Pieces (ICD-Pieces),10/27/2015,10/31/2019,4/30/2016,Apr-16,NCT02587936,Not Applicable,NA,Interventional,5925,Completed,4,TRUE,Industry,Industry,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Insulin Sensitivity in the Peri-Wound Microcirculation of Pressure Ulcers in SCI,10/23/2015,8/31/2018,2/1/2017,1-Feb-17,NCT02585765,Phase 2,NA,Interventional,0,Withdrawn,1,FALSE,U.S. Fed,Public,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
